"LearnDirectClassSystemCode","LearnDirectClassSystemCodeDesc","LearnDirectClassSystemCodeDesc2","EffectiveFrom","EffectiveTo"
"EC.71","Contract Law","Contract Law","26 Mar 2001",""
"EC.72","Torts / Liabilities","Torts/ Liabilities","26 Mar 2001",""
"EC.721","Accident Compensation Law","Accident Compensation Law","26 Mar 2001",""
"EC.73","Family Law","Fam Law","26 Mar 2001",""
"EC.731","Welfare Law","Welfare Law","26 Mar 2001",""
"EC.732","ChildrenS Law","Childs Law","26 Mar 2001",""
"EC.74","Property Law","Prop Law","26 Mar 2001",""
"EC.741","Intellectual Property","Intellectual Prop","26 Mar 2001",""
"EC.7411","Copyright / Patents (Law)","Copyright/ Patents (Law)","26 Mar 2001",""
"EC.742","Conveyancing","Conveyancing","26 Mar 2001",""
"EC.743","Inheritance Tax Law","Inheritance Tax Law","11 Dec 2006",""
"EC.75","Company Law","Company Law","26 Mar 2001",""
"EC.751","Labour Law","Labour Law","26 Mar 2001",""
"EC.76","Consumer Law","Consumer Law","26 Mar 2001",""
"EC.77","Law (Specific Statutes)","Law (Spec Statutes)","26 Mar 2001",""
"EC.771","Data Protection Act","Data Protact","26 Mar 2001",""
"EC.772","Disability Discrimination Act","Disability Disc Act","26 Mar 2001",""
"EC.773","Equal Opportunities Legislation","Equal Opps Legislation","26 Mar 2001",""
"EC.774","Mental Health Act","Ment Hlth Act","26 Mar 2001",""
"EC.8","Legal Practice / Procedures","Legal Prac/ Procs","26 Mar 2001",""
"EC.81","Legal Procedures","Legal Procs","26 Mar 2001",""
"EC.812","Criminal Legal Procedures","Criminal Legal Procs","26 Mar 2001",""
"EC.813","Employment Tribunals","Emp Tribunals","26 Mar 2001",""
"EC.814","Court Procedures","Court Procs","26 Mar 2001",""
"EC.816","Expert Witness","Expert Witness","26 Mar 2001",""
"EC.817","Arbitration","Arbitration","26 Mar 2001",""
"EC.82","Legal Practice","Legal Prac","26 Mar 2001",""
"EC.822","Legal Executives Work","Legal Execs Wrk","26 Mar 2001",""
"EC.824","Paralegal Work","Paralegal Wrk","26 Mar 2001",""
"EC.83","Legal Advice Work","Legal Adv Wrk","26 Mar 2001",""
"EC.84","Legal Drafting","Legal Drafting","26 Mar 2001",""
"ED.","Social Sciences","Soc Scis","26 Mar 2001",""
"ED.8","Social Studies Applied","Soc Stud Applied","26 Mar 2001",""
"EE.","Social Studies","Soc Stud","26 Mar 2001",""
"EE.2","Sociology","Sociology","26 Mar 2001",""
"EE.22","Sociology Of Specific Subjects","Sociology Of Spec Subs","26 Mar 2001",""
"EE.221","Sociology Of Industry","Sociology Of Ind","26 Mar 2001",""
"EE.223","Sociology Of Organisations","Sociology Of Orgs","26 Mar 2001",""
"EE.225","Sociology Of Religion","Sociology Of Rel","26 Mar 2001",""
"EE.226","Sociology Of Science","Sociology Of Sci","26 Mar 2001",""
"EE.227","Sociology Of Welfare","Sociology Of Welfare","26 Mar 2001",""
"EE.228","Urban Sociology","Urban Sociology","11 Dec 2006",""
"EE.229","Sociology Of Health and Sickness","Sociology Of Hlth & Sickness","11 Dec 2006",""
"EE.23","Anthropology","Anthropology","26 Mar 2001",""
"EE.231","Biological Anthropology","Biological Anthropology","26 Mar 2001",""
"EE.232","Social Anthropology","Soc Anthropology","26 Mar 2001",""
"EE.2321","Ethnology","Ethnology","26 Mar 2001",""
"EE.2322","Demography","Demogrphy","26 Mar 2001",""
"EE.234","Paleoecology","Paleoecology","26 Mar 2001",""
"EE.235","Paleopathology","Paleopathology","26 Mar 2001",""
"EE.24","Criminology","Criminology","26 Mar 2001",""
"EE.241","Offenders (Criminology)","Offenders (Criminology)","26 Mar 2001",""
"EE.242","Prisons / Penal Policy","Prisons/ Penal Policy","26 Mar 2001",""
"EE.243","Socio-Legal Studies","Socio-Legal Stud","26 Mar 2001",""
"EE.25","Sociological Theory","Sociological Theory","26 Mar 2001",""
"EE.26","Comparative Sociology","Comparative Sociology","26 Mar 2001",""
"EE.3","Community Studies","Comm Stud","26 Mar 2001",""
"EE.31","Community Development","Comm Dev","26 Mar 2001",""
"EE.32","Community Relations","Comm Relations","26 Mar 2001",""
"EE.321","Race Relations","Race Relations","26 Mar 2001",""
"EE.4","Age Studies","Age Stud","26 Mar 2001",""
"EE.5","Youth Studies","Youth Stud","26 Mar 2001",""
"EE.51","Youth Development","Youth Dev","26 Mar 2001",""
"EE.6","Regional Studies","Regional Stud","26 Mar 2001",""
"EE.7","Industrial Studies","Ind Stud","26 Mar 2001",""
"EE.71","Labour Studies","Labour Stud","26 Mar 2001",""
"EE.8","Social Research","Soc Res","26 Mar 2001",""
"EE.81","Social Research Methods","Soc Res Mth","26 Mar 2001",""
"EE.83","Social Data Analysis","Soc Data Anlys","26 Mar 2001",""
"EE.9","Family Studies","Fam Stud","24 Jan 2005",""
"F","Area Studies / Cultural Studies / Languages / Literature","Area Stud/ Cult Stud/ Lang/ Lit","26 Mar 2001",""
"FB.","Culture / Gender / Folklore","Cult/ Gender/ Folklore","26 Mar 2001",""
"FB.1","Cultural Studies","Cult Stud","26 Mar 2001",""
"FB.11","Arts (Culture) and Society","Arts (Cult) & Soc","26 Mar 2001",""
"FB.12","Popular Culture","Pop Cult","26 Mar 2001",""
"FB.13","Cultural Traditions","Cult Traditions","26 Mar 2001",""
"FB.14","Religion and Culture","Rel & Cult","26 Mar 2001",""
"FB.15","Multicultural Studies","Multicult Stud","26 Mar 2001",""
"FB.2","Gender Studies","Gender Stud","26 Mar 2001",""
"FB.21","WomenS Studies","Womens Stud","26 Mar 2001",""
"FB.22","MenS Studies","Mens Stud","26 Mar 2001",""
"FB.3","Contemporary Studies","Contemp Stud","26 Mar 2001",""
"FB.4","Folklore","Folklore","26 Mar 2001",""
"FB.41","Paranormal Phenomena","Paranormal Phenomena","26 Mar 2001",""
"FB.411","Parapsychology","Parapsych","26 Mar 2001",""
"FB.412","Ufology","Ufology","26 Mar 2001",""
"FB.42","Predictions","Predictions","26 Mar 2001",""
"FB.421","Astrology","Astrology","26 Mar 2001",""
"FB.422","Palmistry","Palmistry","26 Mar 2001",""
"FB.423","Tarot Cards","Tarot Cards","26 Mar 2001",""
"FB.43","Mythology","Mythology","26 Mar 2001",""
"FB.44","Divining","Divining","26 Mar 2001",""
"FB.5","Dream Interpretation","Dream Interpretation","11 Dec 2006",""
"FC.","Literature","Lit","26 Mar 2001",""
"FC.2","Literature History / Criticism","Lit Hist/ Criticism","26 Mar 2001",""
"FC.21","Literary History","Literary Hist","26 Mar 2001",""
"FC.22","Literary Criticism","Literary Criticism","26 Mar 2001",""
"FC.221","Critical Theory","Critical Theory","26 Mar 2001",""
"FC.222","Textual Criticism","Textual Criticism","26 Mar 2001",""
"FC.23","Literary Research","Literary Res","26 Mar 2001",""
"FC.24","Comparative Literature","Comparative Lit","26 Mar 2001",""
"FC.25","Literary Stylistics","Literary Stylistics","26 Mar 2001",""
"FC.3","Literature Specific Forms","Lit Spec Forms","26 Mar 2001",""
"FC.31","Poetry","Poetry","26 Mar 2001",""
"FC.32","Dramatic Literature","Dramatic Lit","26 Mar 2001",""
"FC.33","Novels / Short Stories","Novels/ Short Stories","26 Mar 2001",""
"FC.331","Specific Genre Writing","Spec Genre Writing","11 Dec 2006",""
"FC.34","Belles Lettres","Belles Lettres","26 Mar 2001",""
"FC.35","Biographical Literature","Biogrph Lit","26 Mar 2001",""
"FC.36","ChildrenS Literature","Childs Lit","26 Mar 2001",""
"FC.37","Humour (Literature)","Humour (Lit)","26 Mar 2001",""
"FC.38","Oral Literature","Oral Lit","26 Mar 2001",""
"FC.4","English Literature","Eng Lit","26 Mar 2001",""
"FC.41","English Literature Of Specific Periods","Eng Lit Of Spec Prd","26 Mar 2001",""
"FC.411","Old English Literature","Old Eng Lit","26 Mar 2001",""
"FC.412","Medieval English Literature","Mdvl Eng Lit","26 Mar 2001",""
"FC.413","Sixteenth Century English Literature","16Th Cntry Eng Lit","26 Mar 2001",""
"FC.414","Seventeenth Century English Literature","17Th Cntry Eng Lit","26 Mar 2001",""
"FC.415","Eighteenth Century English Literature","18Th Cntry Eng Lit","26 Mar 2001",""
"FC.416","Nineteenth Century English Literature","19Th Cntry Eng Lit","26 Mar 2001",""
"FC.417","Twentieth Century English Literature","Twentieth Cntry Eng Lit","26 Mar 2001",""
"FC.42","English Literature Of Specific Periods","Eng Lit Spec Prd","22 Aug 2019",""
"FC.48","English Literature Specific Authors","Eng Lit Spec Auths","26 Mar 2001",""
"FC.481","Shakespeare","Shakespeare","11 Dec 2006",""
"FC.5","Literature Specific Periods","Lit Spec Prd","26 Mar 2001",""
"FC.51","Classical Literature","Class Lit","26 Mar 2001",""
"FC.6","Literature Of Specific Areas / Countries","Lit Of Spec Areas/ Cntr","26 Mar 2001",""
"FC.62","Europe Literature","Euro Lit","26 Mar 2001",""
"FC.621","British Isles Literature Of Specific Areas","Brit Isles Lit Of Spec Areas","26 Mar 2001",""
"FC.6211","Ireland Literature","Ire Lit","26 Mar 2001",""
"FC.6212","Scotland Literature","Scot Lit","26 Mar 2001",""
"FC.6213","Wales Literature","Wales Lit","26 Mar 2001",""
"FC.63","Middle East Literature","Mid E Lit","26 Mar 2001",""
"FC.64","Africa Literature","Africa Lit","26 Mar 2001",""
"FC.65","Americas Literature","Americas Lit","26 Mar 2001",""
"FC.652","North America Literature","North America Lit","26 Mar 2001",""
"FC.653","Caribbean Literature","Caribbean Lit","26 Mar 2001",""
"FC.654","Latin America Literature","Latin America Lit","26 Mar 2001",""
"FC.655","South American Literature","South Amer Lit","26 Mar 2001",""
"FC.66","Asia Literature","Asia Lit","26 Mar 2001",""
"FC.662","India / Central Asia Literature","India/ C Asia Lit","26 Mar 2001",""
"FC.663","Far East (East Asia) Literature","Far E (East Asia) Lit","26 Mar 2001",""
"FC.67","Australasia / Austronesia Literature","Austral/ Austron Lit","26 Mar 2001",""
"FJ.","Linguistic Studies","Ling Stud","26 Mar 2001",""
"FJ.2","Linguistics","Lings","26 Mar 2001",""
"FJ.22","Historical / Comparative Linguistics","Historical/ Comparative Lings","26 Mar 2001",""
"FJ.23","Phonetics / Phonology","Phonetics/ Phonology","26 Mar 2001",""
"FJ.24","Syntax / Morphology","Syntax/ Morphology","26 Mar 2001",""
"FJ.241","Morphology (Linguistics)","Morphology (Lings)","26 Mar 2001",""
"FJ.242","Syntax (Linguistics)","Syntax (Lings)","26 Mar 2001",""
"FJ.243","Vocabulary","Vocabulary","26 Mar 2001",""
"FJ.244","Lexicology","Lexicology","26 Mar 2001",""
"FJ.245","Etymology","Etymology","26 Mar 2001",""
"FJ.25","Semantics","Semantics","26 Mar 2001",""
"FJ.26","Computational Linguistics","Comp Lings","26 Mar 2001",""
"FJ.27","Psycholinguistics","Psycholings","26 Mar 2001",""
"FJ.28","Sociolinguistics","Sociolings","26 Mar 2001",""
"FJ.3","Interpreting","Interpreting","26 Mar 2001",""
"FJ.31","Community Interpreting","Comm Interpreting","26 Mar 2001",""
"FJ.32","Conference Interpreting","Conference Interpreting","26 Mar 2001",""
"FJ.4","Translation","Translation","26 Mar 2001",""
"FM.","Area / Diaspora Studies","Area/ Diaspora Stud","26 Mar 2001",""
"FM.1","Area Studies","Area Stud","26 Mar 2001",""
"FM.11","Third World Studies","3Rd World Stud","26 Mar 2001",""
"FM.12","British Commonwealth Studies","Brit Commwealth Stud","26 Mar 2001",""
"FM.13","Soviet Studies","Sov Stud","26 Mar 2001",""
"FM.14","International Studies","Int Stud","26 Mar 2001",""
"FM.2","Diaspora Studies","Diaspora Stud","26 Mar 2001",""
"FM.21","Black Studies","Black Stud","26 Mar 2001",""
"FM.22","Jewish Studies","Jewish Stud","26 Mar 2001",""
"FM.23","Celtic Diaspora Studies","Celtic Diaspora Stud","26 Mar 2001",""
"FM.25","Islamic Studies","Islamic Stud","26 Mar 2001",""
"FM.26","Hispanic Studies","Hispanic Stud","26 Mar 2001",""
"FM.3","British Isles Studies","Brit Isles Stud","26 Mar 2001",""
"FM.31","English Studies","Eng Stud","26 Mar 2001",""
"FM.32","Irish Studies","Irish Stud","26 Mar 2001",""
"FM.33","Northern Ireland Studies","Northern Ire Stud","26 Mar 2001",""
"FM.34","Scottish Studies","Scot Stud","26 Mar 2001",""
"FM.35","Welsh Studies","Welsh Stud","26 Mar 2001",""
"FM.4","European Studies","Euro Stud","26 Mar 2001",""
"FM.41","Europe Studies (General)","Euro Stud (Gen)","26 Mar 2001",""
"FM.411","Balkan Studies","Balkan Stud","26 Mar 2001",""
"FM.412","Celtic Studies","Celtic Stud","26 Mar 2001",""
"FM.413","Eastern Europe Studies","Eastern Euro Stud","26 Mar 2001",""
"FM.414","Scandinavia Studies","Scandinavia Stud","26 Mar 2001",""
"FM.415","Western Europe Studies","Western Euro Stud","26 Mar 2001",""
"FM.416","European Union Studies","Euro Un Stud","26 Mar 2001",""
"FM.42","Europe (Specific Countries) Studies","Euro (Spec Cntr) Stud","26 Mar 2001",""
"FM.421","France Studies","France Stud","26 Mar 2001",""
"FM.422","Germany Studies","Germany Stud","26 Mar 2001",""
"FM.423","Greece Studies","Greece Stud","26 Mar 2001",""
"FM.424","Italy Studies","Italy Stud","26 Mar 2001",""
"FM.425","Russian Federation Studies","Russ Federation Stud","26 Mar 2001",""
"FM.426","Spain Studies","Spain Stud","26 Mar 2001",""
"FM.495","Russian Federation Studies","Russ Federation Stud","20 Jul 2004",""
"FM.5","African Studies","African Stud","26 Mar 2001",""
"FM.6","Americas Studies","Americas Stud","26 Mar 2001",""
"FM.61","American Studies","Amer Stud","26 Mar 2001",""
"FM.612","Latin America Studies","Latin America Stud","26 Mar 2001",""
"FM.613","Caribbean Studies","Caribbean Stud","26 Mar 2001",""
"FM.63","North American Studies","North Amer Stud","26 Mar 2001",""
"FM.631","Canada Studies","Canada Stud","26 Mar 2001",""
"FM.632","United States Studies","United St Stud","26 Mar 2001",""
"FM.64","Central American Studies","Cent Amer Stud","26 Mar 2001",""
"FM.65","South Central American Studies","South Cent Amer Stud","26 Mar 2001",""
"FM.66","South American Studies","South Amer Stud","26 Mar 2001",""
"FM.67","West Indies Studies","West Indies Stud","26 Mar 2001",""
"FM.7","Asian Studies","Asian Stud","26 Mar 2001",""
"FM.72","India / Central Asia States Studies","India/ C Asia St Stud","26 Mar 2001",""
"FM.722","Afghanistan Studies","Afghanistan Stud","26 Mar 2001",""
"FM.725","India Studies","India Stud","26 Mar 2001",""
"FM.73","East Asia States Studies","East Asia St Stud","26 Mar 2001",""
"FM.732","China Studies","China Stud","26 Mar 2001",""
"FM.733","Japan Studies","Japan Stud","26 Mar 2001",""
"FM.738","Tibet Studies","Tibet Stud","26 Mar 2001",""
"FM.74","South East Asia States Studies","South E Asia St Stud","26 Mar 2001",""
"FM.75","North West Asia Studies","North W Asia Stud","26 Mar 2001",""
"FM.8","Australasian / Austronesian Studies","Australn/ Austronn Stud","26 Mar 2001",""
"FM.9","Middle East Studies","Mid E Stud","26 Mar 2001",""
"FM.91","Middle Eastern Studies","Mid Eastern Stud","26 Mar 2001",""
"FM.912","Arabic Studies","Arabic Stud","26 Mar 2001",""
"FM.913","Byzantine Studies","Byzantine Stud","26 Mar 2001",""
"FM.914","Iranian (Farsi) Studies","Iranian (Farsi) Stud","26 Mar 2001",""
"FM.915","Turkish (Ottoman) Studies","Turkish (Ottoman) Stud","26 Mar 2001",""
"FM.92","Arabian States Studies","Arabian St Stud","26 Mar 2001",""
"FM.93","Iran Studies","Iran Stud","26 Mar 2001",""
"FM.94","Iraq Studies","Iraq Stud","26 Mar 2001",""
"FM.95","Israel Studies","Israel Stud","26 Mar 2001",""
"FM.96","Jordan Studies","Jordan Stud","26 Mar 2001",""
"FM.97","Lebanon Studies","Lebanon Stud","26 Mar 2001",""
"FM.98","Syria Studies","Syria Stud","26 Mar 2001",""
"FM.99","Turkey Studies","Turkey Stud","26 Mar 2001",""
"FN.","Languages","Lang","20 Jul 2004",""
"FN.1","Language Studies","Lang Stud","20 Jul 2004",""
"FN.12","Modern Languages","Mdm Lang","20 Jul 2004",""
"FN.121","Languages For Business","Lang For Bus","11 Dec 2006",""
"FN.122","Community Languages","Comm Lang","11 Dec 2006",""
"FN.14","Community Languages","Comm Lang","20 Jul 2004",""
"FN.15","Ancient Languages","Anc Lang","20 Jul 2004",""
"FN.16","Biblical Languages","Biblical Lang","20 Jul 2004",""
"FN.2","English Language","Eng Lang","20 Jul 2004",""
"FN.21","English Language Of Specific Periods","Eng Lang Of Spec Prd","20 Jul 2004",""
"FN.212","Old English (Anglo-Saxon)","Old Eng (Anglo-Saxon)","20 Jul 2004",""
"FN.213","Middle English","Mid Eng","20 Jul 2004",""
"FN.214","Early Modern English","Early Mdm Eng","11 Dec 2006",""
"FN.22","English For Speakers Of Other Languages (Esol)","Eng For Speakers Of Oth Lang (Esol)","20 Jul 2004",""
"FN.221","English As An Additional Language (Eal)","Eng As An Additional Lang (Eal)","20 Jul 2004",""
"FN.222","English As A Foreign Language (Efl)","Eng Frgn Lang (Efl)","20 Jul 2004",""
"FN.24","English For Specific Purposes","Eng For Spec Prps","20 Jul 2004",""
"FN.241","English For Business","Eng For Bus","20 Jul 2004",""
"FN.3","Europe Languages","Euro Lang","20 Jul 2004",""
"FN.32","Classical Languages (Latin & Greek)","Class Lang (Latin & Greek)","20 Jul 2004",""
"FN.323","Latin Language","Latin Lang","20 Jul 2004",""
"FN.325","Greek (Classical)","Greek (Class)","20 Jul 2004",""
"FN.326","Greek (New Testament)","Greek (New Testament)","20 Jul 2004",""
"FN.33","Germanic Languages","Germanic Lang","20 Jul 2004",""
"FN.331","Icelandic Language","Icelandic Lang","11 Dec 2006",""
"FN.332","Dutch Language","Dutch Lang","20 Jul 2004",""
"FN.3323","Afrikaans Language","Afrikaans Lang","20 Jul 2004",""
"FN.333","Danish Language","Danish Lang","20 Jul 2004",""
"FN.335","German Language","German Lang","20 Jul 2004",""
"FN.3362","Icelandic Language","Icelandic Lang","20 Jul 2004",""
"FN.3363","Norwegian Language","Norwegian Lang","20 Jul 2004",""
"FN.337","Swedish Language","Swedish Lang","20 Jul 2004",""
"FN.338","Yiddish","Yiddish","20 Jul 2004",""
"FN.339","Norwegian Language","Norwegian Lang","11 Dec 2006",""
"FN.34","Romance Languages","Romance Lang","20 Jul 2004",""
"FN.342","Catalan Language","Catalan Lang","20 Jul 2004",""
"FN.343","French Language","French Lang","20 Jul 2004",""
"FN.344","Italian Language","Italian Lang","20 Jul 2004",""
"FN.346","Portuguese Language","Portuguese Lang","20 Jul 2004",""
"FN.347","Romanian Language","Romanian Lang","20 Jul 2004",""
"FN.349","Spanish Language","Spanish Lang","20 Jul 2004",""
"FN.35","Celtic Languages","Celtic Lang","20 Jul 2004",""
"FN.352","Breton Language","Breton Lang","20 Jul 2004",""
"FN.353","Cornish Language","Cornish Lang","20 Jul 2004",""
"FN.354","Irish (Gaeilge)","Irish (Gaeilge)","20 Jul 2004",""
"FN.355","Manx","Manx","20 Jul 2004",""
"FN.356","Scottish Gaelic","Scot Gaelic","20 Jul 2004",""
"FN.357","Welsh Language","Welsh Lang","20 Jul 2004",""
"FN.36","Slavonic Languages","Slavonic Lang","20 Jul 2004",""
"FN.361","Bulgarian Language","Bulgarian Lang","11 Dec 2006",""
"FN.362","Czech Language","Czech Lang","11 Dec 2006",""
"FN.363","Polish Language","Polish Lang","11 Dec 2006",""
"FN.364","Russian Language","Russ Lang","11 Dec 2006",""
"FN.365","Serbo-Croatian Language","Serbo-Croatian Lang","11 Dec 2006",""
"FN.3651","Bosnian Language","Bosnian Lang","11 Dec 2006",""
"FN.3652","Croatian Language","Croatian Lang","11 Dec 2006",""
"FN.3653","Serbian Language","Serbian Lang","11 Dec 2006",""
"FN.366","Slovak Language","Slovak Lang","11 Dec 2006",""
"FN.367","Slovene Language","Slovene Lang","11 Dec 2006",""
"FN.368","Ukranian Language","Ukranian Lang","11 Dec 2006",""
"FN.39","Europe Languages (Other)","Euro Lang (Oth)","11 Dec 2006",""
"FN.391","Baltic Languages","Baltic Lang","11 Dec 2006",""
"FN.3911","Latvian Language","Latvian Lang","11 Dec 2006",""
"FN.3912","Lithuanian Language","Lithuanian Lang","11 Dec 2006",""
"FN.392","Finno-Ugric Languages","Finno-Ugric Lang","11 Dec 2006",""
"FN.3921","Estonian Language","Estonian Lang","11 Dec 2006",""
"FN.3922","Finnish Language","Finnish Lang","11 Dec 2006",""
